cota;vazao;;COTA INTERPOLADA Manaus;cota (original medição);area;vm;metodo;data;DIA;0,2917;cota_D_7h;cota_D+1_7h;Cota_Paricatuba;comentario;fonte;operador;local
2058;8685;;2058;2054;73782;0,118;;05/01/2010 10:23;05/01/2010 00:00;0,141;2056,5;2066,5;0;;banco cprm 14990000;;
2023;23819;;2023;2050;74587;0,319;;20/11/2014 15:35;20/11/2014 00:00;0,358;2022;2024;2048;;banco cprm 14911000;;
2009;8414;;2009;2019;74256;0,113;;27/01/2016 14:51;27/01/2016 00:00;0,327;2008;2011;2018,5;;banco cprm 14911000;;
1993;24700;;1993;1997;;;ADCP;16/09/1997 12:00;16/09/1997 00:00;0,208;1997;1977;0;HYBAM BR09 Paricatuba;hydraccess;;paricatuba
1964;5906;;1964;1988;72219;0,082;;25/02/2016 14:00;25/02/2016 00:00;0,292;1963;1965;1986;;banco cprm 14911000;;
1987;25290;;1987;1983;73420;0,344456553;ADCP 600 KHz + GPS;21/01/2011 14:00;21/01/2011 00:00;0,292;1985;1992;0;GGA + BT --> 2 GGA (3 cm/s) | ;hydraccess;CPRM;paricatuba
1945;33030;;1945;1947;;;ADCP;10/10/1996 12:00;10/10/1996 00:00;0,208;1947;1939;0;HYBAM BR06 Manaus;hydraccess;;manaus
1905;23540;;1905;1930;70120;0,335710198;ADCP 600 KHz + GPS;12/12/2011 17:00;12/12/2011 00:00;0,417;1902,5;1908,5;0;BT --> 2 BT ( cm/s) | ;hydraccess;PF;paricatuba
1924;17547;;1924;1924;;;ADCP;09/12/2003 12:00;09/12/2003 00:00;0,208;1924;1923;0;HYBAM BR34 Paricatuba;hydraccess;;paricatuba
1923;20989;;1923;1923;;;ADCP;18/11/2004 10:00;18/11/2004 00:00;0,125;1923;1923;0;HYBAM BR37 Manaus;hydraccess;;manaus
1923;20800;;1923;1923;;;ADCP;18/11/2004 16:00;18/11/2004 00:00;0,375;1923;1923;0;HYBAM BR37 Paricatuba;hydraccess;;paricatuba
1926;23920;;1926;1922;72860;0,328300864;ADCP;12/01/2011 14:30;12/01/2011 00:00;0,312;1924;1932;0;BT --> 4 BT ( cm/s) | ;hydraccess;CPRM;paricatuba
1890;29100;;1890;1916;71469;0,407;4 - ADCP RiverRay de 600 kHz;14/10/2019 11:10;14/10/2019 00:00;0,174;1891;1883;1915;;banco cprm 14911000;Guilherme, Robson e José Carlos;
1888;23200;;1888;1916;71819;0,323;4 - ADCP RiverRay de 600 kHz;07/11/2019 11:00;07/11/2019 00:00;0,167;1887;1891;1915,5;;banco cprm 14911000;Daniel Garcia;
1890;29100;;1890;1886;71469;0,407;4 - ADCP RiverRay de 600 kHz;14/10/2019 11:10;14/10/2019 00:00;0,174;1891;1883;1915;;banco cprm 14990000;Guilherme, Robson e José Carlos;
1833;20582;;1833;1859;70466;0,29;4 - ADCP RiverRay de 600 kHz;11/11/2017 12:00;11/11/2017 00:00;0,208;1831;1839;1861;;banco cprm 14911000;Nailde e Patricia;
1847;30650;;1847;1849;;;ADCP;28/09/1998 12:00;28/09/1998 00:00;0,208;1849;1837;0;HYBAM BR12 Paricatuba;hydraccess;;paricatuba
1844;26760;;1844;1844;68825;0,389;;27/10/2008 16:13;27/10/2008 00:00;0,384;1844;1843;0;;banco cprm 14990000;;
1796;35580;;1796;1803;70520;0,504537702;ADCP 600 KHz;20/09/2010 11:00;20/09/2010 00:00;0,167;1799;1783,5;0;BT --> 2 BT ( cm/s) | ;hydraccess;CPRM;paricatuba
1777;15237;;1777;1801;56905;0,269;;30/11/2016 10:48;30/11/2016 00:00;0,158;1778;1774;1801;;banco cprm 14911000;;
1766;21360;;1766;1791;68930;0,31;;25/10/2011 15:30;25/10/2011 00:00;0,354;1765;1768;0;;banco cprm 14990000;;
1781;12400;;1781;1781;;;ADCP;28/11/2001 12:00;28/11/2001 00:00;0,208;1781;1779;0;HYBAM BR27 Paricatuba;hydraccess;;paricatuba
1739;22462;;1739;1779;68808;0,33;4 - ADCP RiverRay de 600 kHz;08/10/2017 10:21;08/10/2017 00:00;0,140;1739;1742;0;;banco cprm 14911000;Patricia, Diego e Alex;
1729;10204;;1729;1752;68108;0,15;;19/12/2015 09:00;19/12/2015 00:00;0,083;1729;1728;1752,5;;banco cprm 14911000;;
1744;38830;;1744;1740;66480;0,584085464;ADCP 600 KHz;09/12/2010 11:00;09/12/2010 00:00;0,167;1742,5;1751;0;BT --> 4 BT Ajustado (24 cm/s) | ;hydraccess;CPRM;paricatuba
1739;15530;;1739;1736;;;ADCP;24/11/1995 12:00;24/11/1995 00:00;0,208;1736;1749;0;HYBAM BR04 Manaus;hydraccess;;manaus
